1:49:25 AM  [main] 	Initializing Control Panel
1:49:25 AM  [main] 	Windows Version:  Home  64-bit
1:49:25 AM  [main] 	XAMPP Version: 8.0.30
1:49:25 AM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
1:49:25 AM  [main] 	You are not running with administrator rights! This will work for
1:49:25 AM  [main] 	most application stuff but whenever you do something with services
1:49:25 AM  [main] 	there will be a security dialogue or things will break! So think 
1:49:25 AM  [main] 	about running this application with administrator rights!
1:49:25 AM  [main] 	XAMPP Installation Directory: "c:\xampp\"
1:49:25 AM  [main] 	Checking for prerequisites
1:49:27 AM  [main] 	All prerequisites found
1:49:27 AM  [main] 	Initializing Modules
1:49:27 AM  [Apache] 	Problem detected!
1:49:27 AM  [Apache] 	Port 80 in use by "C:\nginx\nginx.exe" with PID 11560!
1:49:27 AM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:49:27 AM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:49:27 AM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:49:27 AM  [main] 	Starting Check-Timer
1:49:27 AM  [main] 	Control Panel Ready
1:49:28 AM  [Apache] 	Problem detected!
1:49:28 AM  [Apache] 	Port 80 in use by "C:\nginx\nginx.exe" with PID 11560!
1:49:28 AM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:49:28 AM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:49:28 AM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:49:28 AM  [Apache] 	Attempting to start Apache app...
1:49:29 AM  [Apache] 	Status change detected: running
1:49:31 AM  [mysql] 	Attempting to start MySQL app...
1:49:31 AM  [mysql] 	Status change detected: running
2:20:52 AM  [Apache] 	Attempting to stop Apache (PID: 8960)
2:20:52 AM  [Apache] 	Attempting to stop Apache (PID: 2560)
2:20:52 AM  [mysql] 	Attempting to stop MySQL app...
2:20:53 AM  [Apache] 	Status change detected: stopped
2:20:53 AM  [mysql] 	Status change detected: stopped
2:54:18 AM  [main] 	Deinitializing Modules
2:54:18 AM  [main] 	Deinitializing Control Panel

